,label,cyto_int,cyto_area,frame,nuc_int,nuc_area,cyto_nuc_ratio
0,1,453.6451359832636,7648,0,445.0374149659864,2352,1.0193415670858483
1,4,583.3421912437377,4591,0,561.1212343864805,1361,1.0396009908296433
2,5,469.28818713450295,4275,0,464.2300518134715,1930,1.01089575158108
3,6,483.3901746724891,4580,0,473.0012547051443,1594,1.0219638317319495
4,8,792.9471679364028,6038,0,749.7725774555042,1517,1.0575835817140975
5,9,481.09263365360925,8118,0,474.9807374793616,1817,1.0128676716590286
6,11,482.85616242493563,3497,0,473.2387862796834,1516,1.0203224596632459
7,13,577.5387912558937,4666,0,546.6163610719323,1418,1.0565706268347357
8,14,479.8177991581479,4989,0,471.22265844083006,1783,1.0182400836703338
9,15,525.0401637247378,3909,0,512.1619804400978,1636,1.0251447467333945
10,17,454.94415767245425,2131,0,455.6519607843137,1836,0.9984466145813548
11,18,469.88278481012657,3950,0,464.3919514884234,1814,1.0118237047479064
12,19,485.4208362696735,8514,0,478.7908629441624,1970,1.0138473263352235
13,20,487.56582524271846,5150,0,473.83858267716533,1778,1.028970292980354
14,22,451.4178770949721,2685,0,450.10096153846155,1456,1.0029258225799147
15,23,452.794343575419,2864,0,448.390243902439,1353,1.009822023857277
16,24,461.1375772906127,7116,0,453.8318509106311,2361,1.0160978705335961
17,29,444.0710479573712,2252,0,441.5040137614679,1744,1.0058142941307215
18,32,444.7138382687927,3512,0,440.4396971335857,1849,1.0097042595456844
19,33,485.03038796282635,6779,0,474.5718169460807,2207,1.0220379100555268
20,34,550.7438844951259,10874,0,557.0167464114833,2090,0.9887384679962146
21,35,546.5466768379899,10487,0,564.543431053203,1842,0.9681215771448467
22,37,515.4819932636669,11579,0,532.6321174377224,2248,0.9678011828190951
23,38,522.607414989196,8793,0,503.0178117048346,1965,1.0389441543192437
24,39,456.5317209954434,2853,0,449.72936802973976,1345,1.0151254364274778
25,40,482.40314885496184,10480,0,486.5176967776017,1893,0.9915428607224523
